place,title,time,pay,date
서울 전체,혼밥대왕 서초점에서 주간 식구 모집합니다,10:00~22:00,"시급9,500",56분전
서울 전체,혼밥대왕 서초점에서 주간 식구 모집합니다,10:00~22:00,"시급9,500",57분전
충남 천안시,천안 불당동 혼밥대왕 직원구합니다.,11:00~08:00,"시급9,200",3시간전
경기 남양주,바로덮밥 바로파스타 정직원구합니다,10:00~22:00,"월급2,900,000",4시간전
경기 안성시,혼밥대왕 안성점 평일오전/오후 아르바이트생/직원 구합니다,시간협의,"시급10,000",05/24
경기 안성시,혼밥대왕 안성점 평일오전/오후 아르바이트생/직원 구합니다,시간협의,"시급10,000",05/23
경기 안성시,혼밥대왕 안성점 평일오전/오후 아르바이트생/직원 구합니다,시간협의,"시급10,000",05/22
서울 마포구,"[급구][시급11,000원]혼밥대왕 홍대점에서 주/야간 직원을 구인합니다",22:00~10:00,"시급11,000",05/20
서울 마포구,"[급구][시급11,000원]혼밥대왕 홍대점에서 주/야간 직원을 구인합니다",22:00~10:00,"시급11,000",05/20
서울 마포구,"[급구][시급11,000원]혼밥대왕 홍대점에서 주/야간 직원을 구인합니다",22:00~10:00,"시급11,000",05/20
서울 마포구,"[급구][시급11,000원]혼밥대왕 홍대점에서 주/야간 직원을 구인합니다",22:00~10:00,"시급11,000",05/20
서울 마포구,"[급구][시급11,000원]혼밥대왕 홍대점에서 주/야간 직원을 구인합니다",22:00~10:00,"시급11,000",05/20
경기 안성시,혼밥대왕 안성점 평일오전/오후 아르바이트생/직원 구합니다,시간협의,"시급10,000",05/20
경기 안성시,혼밥대왕 안성점 평일오전/오후 아르바이트생/직원 구합니다,시간협의,"시급10,000",05/17
제주 제주시,정규직 및 아르바이트 모집,16:30~01:30,"월급2,500,000",05/15
서울 전체,-배달전문매장혼밥대왕 역촌점 주6일 야간 월300,22:00~10:00,"월급3,000,000",05/11
